ID,Competitor,Category,Description,Brand,Price,Discount,Regular Price,Grammage,Unit,Price per Kg,Regular Price per Kg,Discounted Price Difference,Product Link,Scraping Date,Var Price per Kg vs Overall Mean (%),Var Price per Kg vs Competitor Mean (%),Abs Diff Price per Kg vs Overall Mean,Abs Diff Price per Kg vs Competitor Mean
48,Migros,Rice,Risotto Pomodoro e basilico,Da Emilio,3.4,No Discount,3.4,0.25,kg,13.6,13.6,0.0,https://www.migros.ch/en/product/104446200000,07/11/2024,73.4,62.57,5.76,5.23
49,Migros,Rice,Polenta Al funghi porcini,Da Emilio,3.4,No Discount,3.4,0.25,kg,13.6,13.6,0.0,https://www.migros.ch/en/product/104446600000,07/11/2024,73.4,62.57,5.76,5.23
50,Migros,Rice,Basmati rice,Demeter,3.8,No Discount,3.8,0.5,kg,7.6,7.6,0.0,https://www.migros.ch/en/product/104450100000,07/11/2024,-3.1,-9.15,-0.24,-0.77
51,Migros,Rice,Whole Grain Basmati - Long Grain - Fragrant Rice,Mister Rice Bio,3.0,No Discount,3.0,0.5,kg,6.0,6.0,0.0,https://www.migros.ch/en/product/104413300000,07/11/2024,-23.5,-28.28,-1.84,-2.37
52,Migros,Rice,Long grain wild rice,Mister Rice Bio,5.95,No Discount,5.95,1.0,kg,5.95,5.95,0.0,https://www.migros.ch/en/product/104424800000,07/11/2024,-24.14,-28.88,-1.89,-2.42
53,Migros,Rice,Bio Langkornreis lose,Migros Bio,3.5,No Discount,3.5,1.0,kg,3.5,3.5,0.0,https://www.migros.ch/en/product/104405100000,07/11/2024,-55.38,-58.16,-4.34,-4.87
54,Migros,Rice,Riso Insalate,Riso Scotti,4.2,No Discount,4.2,1.0,kg,4.2,4.2,0.0,https://www.migros.ch/en/product/104409200000,07/11/2024,-46.45,-49.79,-3.64,-4.17
55,Migros,Rice,Riso Arborio,Riso Scotti,5.0,No Discount,5.0,1.0,kg,5.0,5.0,0.0,https://www.migros.ch/en/product/104409300000,07/11/2024,-36.25,-40.23,-2.84,-3.37
56,Migros,Rice,Demeter Langkornreis Parboiled,Demeter,3.6,No Discount,3.6,0.5,kg,7.2,7.2,0.0,https://www.migros.ch/en/product/104450500000,07/11/2024,-8.2,-13.93,-0.64,-1.17
57,Migros,Rice,La Cuna Paëlla Reis,La Cuna,4.25,No Discount,4.25,1.0,kg,4.25,4.25,0.0,https://www.migros.ch/en/product/158593300000,07/11/2024,-45.81,-49.2,-3.59,-4.12
58,Migros,Rice,Riso Scotti Vener,Riso Scotti,4.2,No Discount,4.2,0.5,kg,8.4,8.4,0.0,https://www.migros.ch/en/product/104409100000,07/11/2024,7.1,0.41,0.56,0.03
59,Migros,Rice,Scotti Oro insalate Riso Jasmine,Scotti,3.9,No Discount,3.9,0.8,kg,4.88,4.88,0.0,https://www.migros.ch/en/product/104413800000,07/11/2024,-37.78,-41.67,-2.96,-3.49
60,Migros,Rice,Long grain rice,M-Budget,1.5,No Discount,1.5,1.0,kg,1.5,1.5,0.0,https://www.migros.ch/en/product/104431000000,07/11/2024,-80.88,-82.07,-6.34,-6.87
61,Migros,Rice,Risotto Al gusto di tartufo,Da Emilio,3.75,No Discount,3.75,0.25,kg,15.0,15.0,0.0,https://www.migros.ch/en/product/104446300000,07/11/2024,91.25,79.31,7.16,6.63
62,Migros,Rice,Long grain rice parboiled,Alnatura,3.0,No Discount,3.0,1.0,kg,3.0,3.0,0.0,https://www.migros.ch/en/product/104474600000,07/11/2024,-61.75,-64.14,-4.84,-5.37
63,Migros,Rice,Bio Wild rice mix lose,Migros Bio,6.0,No Discount,6.0,1.0,kg,6.0,6.0,0.0,https://www.migros.ch/en/product/104405300000,07/11/2024,-23.5,-28.28,-1.84,-2.37
64,Migros,Rice,Long grain wild rice,M-Classic,3.0,20%,3.75,1.0,kg,3.0,3.75,0.75,https://www.migros.ch/en/product/104402600000,07/11/2024,-61.75,-64.14,-4.84,-5.37
65,Migros,Rice,Risotto,M-Budget,2.0,No Discount,2.0,1.0,kg,2.0,2.0,0.0,https://www.migros.ch/en/product/104431200000,07/11/2024,-74.5,-76.09,-5.84,-6.37
66,Migros,Rice,Basmati rice white,Alnatura,1.8,No Discount,1.8,0.5,kg,3.6,3.6,0.0,https://www.migros.ch/en/product/104464300000,07/11/2024,-54.1,-56.97,-4.24,-4.77
67,Lidl,Rice,Ben's Langkorn Reis,Ben's,5.89,No Discount,5.89,1.0,kg,5.89,5.89,0.0,https://sortiment.lidl.ch/de/ben-s-langkorn-reis-1800158,07/11/2024,-24.9,33.99,-1.95,1.49
68,Lidl,Rice,Ben's Spitzen-Langkornreis,Ben's,5.89,No Discount,5.89,1.0,kg,5.89,5.89,0.0,https://sortiment.lidl.ch/de/ben-s-spitzen-langkornreis-1800157,07/11/2024,-24.9,33.99,-1.95,1.49
69,Lidl,Rice,Bio Langkornreis,Golden Sun,1.49,No Discount,1.49,0.5,kg,2.98,2.98,0.0,https://sortiment.lidl.ch/de/bio-langkornreis-0109155,07/11/2024,-62.01,-32.21,-4.86,-1.42
70,Lidl,Rice,Ben's Express Reis,Ben's,3.29,No Discount,3.29,0.22,kg,14.95,14.95,0.0,https://sortiment.lidl.ch/de/ben-s-express-reis-0008986,07/11/2024,90.61,240.08,7.11,10.55
71,Lidl,Rice,Parboiled Reis Langkorn,Golden Sun,1.35,No Discount,1.35,1.0,kg,1.35,1.35,0.0,https://sortiment.lidl.ch/de/parboiled-reis-langkorn-0138125,07/11/2024,-82.79,-69.29,-6.49,-3.05
72,Lidl,Rice,Bio Basmati Reis,Golden Sun,1.79,No Discount,1.79,0.5,kg,3.58,3.58,0.0,https://sortiment.lidl.ch/de/bio-basmati-reis-0128944,07/11/2024,-54.36,-18.56,-4.26,-0.82
73,Lidl,Rice,Langkornreis im Kochbeutel,Golden Sun,1.99,No Discount,1.99,1.0,kg,1.99,1.99,0.0,https://sortiment.lidl.ch/de/langkornreis-im-kochbeutel-0012590,07/11/2024,-74.63,-54.73,-5.85,-2.41
74,Lidl,Rice,Basmati Reis,Golden Sun,2.65,No Discount,2.65,1.0,kg,2.65,2.65,0.0,https://sortiment.lidl.ch/de/basmati-reis-0136419,07/11/2024,-66.21,-39.72,-5.19,-1.75
75,Lidl,Rice,San Andrea Risottoreis,Golden Sun,1.99,No Discount,1.99,1.0,kg,1.99,1.99,0.0,https://sortiment.lidl.ch/de/san-andrea-risottoreis-0129108,07/11/2024,-74.63,-54.73,-5.85,-2.41
76,Lidl,Rice,Jasmin Reis,Golden Sun,2.69,No Discount,2.69,1.0,kg,2.69,2.69,0.0,https://sortiment.lidl.ch/de/jasmin-reis-0012592,07/11/2024,-65.7,-38.81,-5.15,-1.71
