ID,Competitor,Category,Product_Description,Brand,Regular_Price (CHF),Grammage,Unit,Link,Scraping_Date,Discount,Actual_Price (CHF),Regular_Price/Unit,Actual_Price/Unit
9,Lidl,Pasta,Orecchiette / Trofie,Italiamo,1.79,0.5,kg,https://sortiment.lidl.ch/de/orecchiette-trofie-6001877,21/10/2024,no discount,1.79,3.58,3.58
10,Lidl,Pasta,Bio Spaghetti,Combino,1.19,0.5,kg,https://sortiment.lidl.ch/de/bio-spaghetti-0127393,21/10/2024,no discount,1.19,2.38,2.38
11,Lidl,Pasta,Penne Rigate,Combino,1.39,1.0,kg,https://sortiment.lidl.ch/de/penne-rigate-0027328,21/10/2024,no discount,1.39,1.39,1.39
12,Lidl,Pasta,Maccheroni al ferretto,Italiamo,1.79,0.5,kg,https://sortiment.lidl.ch/de/maccheroni-al-ferretto-6000313,21/10/2024,no discount,1.79,3.58,3.58
13,Lidl,Pasta,Fusilli,Combino,1.39,1.0,kg,https://sortiment.lidl.ch/de/fusilli-0027326,21/10/2024,no discount,1.39,1.39,1.39
14,Lidl,Pasta,Farfalle,Combino,1.25,0.5,kg,https://sortiment.lidl.ch/de/farfalle-0019104,21/10/2024,no discount,1.25,2.5,2.5
15,Lidl,Pasta,Bio Dinkel Fusilli / Penne,Combino,1.79,0.5,kg,https://sortiment.lidl.ch/de/bio-dinkel-fusilli-penne-0162401,21/10/2024,no discount,1.79,3.58,3.58
16,Lidl,Pasta,Barilla Spaghettoni No. 7,Barilla,3.39,1.0,kg,https://sortiment.lidl.ch/de/barilla-spaghettoni-no-7-0003356,21/10/2024,no discount,3.39,3.39,3.39
17,Lidl,Pasta,Barilla Fusilli No. 98,Barilla,3.39,1.0,kg,https://sortiment.lidl.ch/de/barilla-fusilli-no-98-0001067,21/10/2024,no discount,3.39,3.39,3.39
18,Lidl,Pasta,Chow Mein Nudeln,Combino,1.25,0.25,kg,https://sortiment.lidl.ch/de/chow-mein-nudeln-0012038,21/10/2024,no discount,1.25,5.0,5.0
19,Lidl,Pasta,Lasagneblätter,Combino,1.49,0.5,kg,https://sortiment.lidl.ch/de/lasagneblaetter-6014771,21/10/2024,no discount,1.49,2.98,2.98
20,Lidl,Pasta,Barilla Penne Rigate No. 73,Barilla,3.39,1.0,kg,https://sortiment.lidl.ch/de/barilla-penne-rigate-no-73-0001066,21/10/2024,no discount,3.39,3.39,3.39
21,Lidl,Pasta,Bio Couscous / Bio Bulgur,Golden Sun,1.89,0.5,kg,https://sortiment.lidl.ch/de/bio-couscous-bio-bulgur-0126325,21/10/2024,no discount,1.89,3.78,3.78
22,Lidl,Pasta,Udon Nudeln,Combino,1.79,0.3,kg,https://sortiment.lidl.ch/de/udon-nudeln-0149145,21/10/2024,no discount,1.79,5.97,5.97
23,Lidl,Pasta,Tagliatelle,Combino,1.39,0.5,kg,https://sortiment.lidl.ch/de/tagliatelle-0037270,21/10/2024,no discount,1.39,2.78,2.78
24,Lidl,Pasta,Bschüssig Teigwaren,Bschüssig,3.45,0.5,kg,https://sortiment.lidl.ch/de/bschuessig-teigwaren-5104312,21/10/2024,no discount,3.45,6.9,6.9
25,Lidl,Pasta,Bio Nudeln,Combino,1.19,0.5,kg,https://sortiment.lidl.ch/de/bio-nudeln-0063265,21/10/2024,no discount,1.19,2.38,2.38
26,Lidl,Pasta,Teigwaren glutenfrei,Combino,1.89,0.5,kg,https://sortiment.lidl.ch/de/teigwaren-glutenfrei-7701123,21/10/2024,no discount,1.89,3.78,3.78
27,Lidl,Pasta,Barilla Spaghetti No. 5,Barilla,3.39,1.0,kg,https://sortiment.lidl.ch/de/barilla-spaghetti-no-5-0001064,21/10/2024,no discount,3.39,3.39,3.39
0,lidl,Pasta Sauces,Bio gehackte Tomaten classic,Baresa,0.95,0.4,Kg,https://sortiment.lidl.ch/de/bio-gehackte-tomaten-classic-0133303,2024-11-01,no discount,0.95,2.375,2.375
1,lidl,Pasta Sauces,Bio Passierte Tomaten,Baresa,1.59,0.7,Kg,https://sortiment.lidl.ch/de/bio-passierte-tomaten-0150221,2024-11-01,no discount,1.59,2.271,2.271
3,lidl,Pasta Sauces,Geschälte Tomaten,Baresa,1.29,0.8,Kg,https://sortiment.lidl.ch/de/geschaelte-tomaten-0110541,2024-11-01,no discount,1.29,1.612,1.612
