ID,Competitor,Category,Product_Description,Brand,Regular_Price (CHF),Unit,Link,Scraping_Date,Discount,Grammage,Actual_Price (CHF),Regular_Price/Unit,Actual_Price/Unit,Distance_average_price
74,Mirgos,Pasta Sauces,Alnatura Tomatensauce Mit Kräuter,Alnatura,2.95,L,https://www.migros.ch//de/product/153271300000,2024-11-01,no discount,0.35,2.95,8.429,8.429,-43.31%
75,Mirgos,Pasta Sauces,Agnesi Tomatensauce Basilico,Agnesi,2.25,Kg,https://www.migros.ch//de/product/153200400000,2024-11-01,no discount,0.19,2.25,11.842,11.842,-20.36%
76,Mirgos,Pasta Sauces,Bon Chef Käsesauce,Bon Chef,1.9,Kg,https://www.migros.ch//de/product/106508200000,2024-11-01,no discount,0.037,1.9,51.351,51.351,245.36%
77,Mirgos,Pasta Sauces,M-Classic Tomatenpüree mit Gemüse,M-Classic,1.95,Kg,https://www.migros.ch//de/product/153226300000,2024-11-01,no discount,0.2,1.95,9.75,9.75,-34.43%
78,Mirgos,Pasta Sauces,Agnesi Tomatensauce Arrabbiata,Agnesi,2.95,Kg,https://www.migros.ch//de/product/153223100000,2024-11-01,no discount,0.4,2.95,7.375,7.375,-50.4%
79,Mirgos,Pasta Sauces,Migros Bio Pesto Rosso,Migros,3.0,Kg,https://www.migros.ch//de/product/153210400000,2024-11-01,no discount,0.13,3.0,23.077,23.077,55.21%
80,Mirgos,Pasta Sauces,Alnatura Vegetarische Gemüse Bolognese,Alnatura,2.85,L,https://www.migros.ch//de/product/153270900000,2024-11-01,no discount,0.35,2.85,8.143,8.143,-45.23%
81,Mirgos,Pasta Sauces,Alnatura Pesto Rosso,Alnatura,2.4,Kg,https://www.migros.ch//de/product/153270000000,2024-11-01,no discount,0.12,2.4,20.0,20.0,34.51%
82,Mirgos,Pasta Sauces,Garofalo Sauce fur Pasta Pomodoro e Basilico,Garofalo,2.8,Kg,https://www.migros.ch//de/product/153236300000,2024-11-01,no discount,0.18,2.8,15.556,15.556,4.62%
83,Mirgos,Pasta Sauces,Longobardi Pizza Sauce con aglio e origano,Longobardi,1.1,Kg,https://www.migros.ch//de/product/153234700000,2024-11-01,no discount,0.2,1.1,5.5,5.5,-63.01%
